female,prechod,C,D,OR6,OR8,sig_OR6,sig_OR8,OR86,barva
1. female,N1C_N1C,euro12,euro4,4.0412642178,4.4272596479,sig,sig,1.0955135347,B1
1. female,N1C_N1C,euro12,euro5,4.9882886167,5.2957842535,sig,sig,1.0616435135,B1
1. female,N1C_N1C,euro12,euro6,5.5756078701,5.3676174795,sig,sig,0.962696374,B1
1. female,N1C_N1C,euro12,euro7,4.4213678128,4.2031178484,sig,sig,0.9506374557,B1
1. female,N1C_N1C,euro12,euro8,3.8021466958,4.3488973831,sig,sig,1.143800524,B1
1. female,N1C_N1C,euro12,euro9,5.6295517389,6.1560163928,sig,sig,1.0935180416,B1
1. female,N1C_N1C,euro2,euro1,5.5990070863,4.3927072862,sig,sig,0.784551121,B1
1. female,N1C_N1C,euro2,euro10,3.535186733,4.7274963447,sig,sig,1.3372692029,B1
1. female,N1C_N1C,euro2,euro11,5.916730868,6.1642491767,sig,sig,1.0418336264,B1
1. female,N1C_N1C,euro2,euro12,3.4626777185,2.7931488801,sig,sig,0.8066441948,B1
1. female,N1C_N1C,euro2,euro2,,,nesig,nesig,,B4
1. female,N1C_N1C,euro2,euro3,4.3480417755,5.9246253092,sig,sig,1.362596225,B1
1. female,N1C_N1C,euro2,euro4,1.9576383213,1.6834134153,sig,sig,0.8599205466,B1
1. female,N1C_N1C,euro2,euro5,4.1281999642,3.5345322383,sig,sig,0.8561921101,B1
1. female,N1C_N1C,euro2,euro6,4.6608986035,7.4310236616,sig,sig,1.5943328301,B1
1. female,N1C_N1C,euro2,euro7,2.6744868637,2.3222222222,sig,sig,0.8682870175,B1
1. female,N1C_N1C,euro2,euro8,3.1332453826,3.0152202295,sig,sig,0.9623313406,B1
1. female,N1C_N1C,euro2,euro9,5.5320101725,6.2876313568,sig,sig,1.1365907077,B1
1. female,N1C_N1C,euro3,euro1,17.429354119,15.407129826,sig,sig,0.8839759477,B1
1. female,N1C_N1C,euro3,euro10,3.4242633517,4.1078729883,sig,sig,1.1996369923,B1
1. female,N1C_N1C,euro3,euro11,2.9823275862,3.0350588643,sig,sig,1.0176812495,B1
1. female,N1C_N1C,euro3,euro12,8.2246453425,5.9928370615,sig,sig,0.7286438274,B1
1. female,N1C_N1C,euro3,euro2,4.3480417755,5.9246253092,sig,sig,1.362596225,B1
1. female,N1C_N1C,euro3,euro3,,,nesig,nesig,,B4
1. female,N1C_N1C,euro3,euro4,4.6442706131,4.2325174825,sig,sig,0.9113417014,B1
1. female,N1C_N1C,euro3,euro5,6.9324134047,4.5604535025,sig,sig,0.6578450009,B1
1. female,N1C_N1C,euro3,euro6,4.0089641434,4.3727576771,sig,sig,1.0907450206,B1
1. female,N1C_N1C,euro3,euro7,5.2360383841,3.7995262362,sig,sig,0.7256490418,B1
1. female,N1C_N1C,euro3,euro8,3.8837921496,4.3993127684,sig,sig,1.1327364079,B1
1. female,N1C_N1C,euro3,euro9,10.27128101,7.9753961635,sig,sig,0.7764753156,B1
1. female,N1C_N1C,euro4,euro1,7.4052910887,8.0838127772,sig,sig,1.0916266059,B1
1. female,N1C_N1C,euro4,euro10,2.3315228248,2.6191035307,sig,sig,1.123344581,B1
1. female,N1C_N1C,euro4,euro11,1.4821016771,1.8655825017,sig,sig,1.2587412392,B1
1. female,N1C_N1C,euro4,euro12,4.0412642178,4.4272596479,sig,sig,1.0955135347,B1
1. female,N1C_N1C,euro4,euro2,1.9576383213,1.6834134153,sig,sig,0.8599205466,B1
1. female,N1C_N1C,euro4,euro3,4.6442706131,4.2325174825,sig,sig,0.9113417014,B1
1. female,N1C_N1C,euro4,euro4,,,nesig,nesig,,B4
1. female,N1C_N1C,euro4,euro5,4.3097864146,3.7406678125,sig,sig,0.8679473767,B1
1. female,N1C_N1C,euro4,euro6,3.0263532764,2.0763423711,sig,sig,0.6860872415,B1
1. female,N1C_N1C,euro4,euro7,4.3490901572,4.2174684832,sig,sig,0.9697358139,B1
1. female,N1C_N1C,euro4,euro8,1.9837398374,2.5209210458,sig,sig,1.2707921665,B1
1. female,N1C_N1C,euro4,euro9,5.4181325004,5.3516141202,sig,sig,0.987723006,B1
1. female,N1C_N1C,euro5,euro1,6.694781782,6.8906139016,sig,sig,1.0292514567,B1
1. female,N1C_N1C,euro5,euro10,4.3560936617,4.2554954116,sig,sig,0.9769063161,B1
1. female,N1C_N1C,euro5,euro11,3.2524632204,3.3483642106,sig,sig,1.0294856494,B1
1. female,N1C_N1C,euro5,euro12,4.9882886167,5.2957842535,sig,sig,1.0616435135,B1
1. female,N1C_N1C,euro5,euro2,4.1281999642,3.5345322383,sig,sig,0.8561921101,B1
1. female,N1C_N1C,euro5,euro3,6.9324134047,4.5604535025,sig,sig,0.6578450009,B1
1. female,N1C_N1C,euro5,euro4,4.3097864146,3.7406678125,sig,sig,0.8679473767,B1
1. female,N1C_N1C,euro5,euro5,,,nesig,nesig,,B4
1. female,N1C_N1C,euro5,euro6,7.2229973133,5.1956151554,sig,sig,0.7193156705,B1
1. female,N1C_N1C,euro5,euro7,5.1964966865,5.1924297924,sig,sig,0.9992173777,B1
1. female,N1C_N1C,euro5,euro8,5.4533065237,5.3685709933,sig,sig,0.9844616234,B1
1. female,N1C_N1C,euro5,euro9,6.4036160227,6.6924539352,sig,sig,1.0451054391,B1
1. female,N1C_N1C,euro6,euro1,8.7378177966,7.295711445,sig,sig,0.8349580656,B1
1. female,N1C_N1C,euro6,euro10,5.6350500854,6.2662523403,sig,sig,1.1120136015,B1
1. female,N1C_N1C,euro6,euro11,5.8475751536,7.0420600858,sig,sig,1.2042701292,B1
1. female,N1C_N1C,euro6,euro12,5.5756078701,5.3676174795,sig,sig,0.962696374,B1
1. female,N1C_N1C,euro6,euro2,4.6608986035,7.4310236616,sig,sig,1.5943328301,B1
1. female,N1C_N1C,euro6,euro3,4.0089641434,4.3727576771,sig,sig,1.0907450206,B1
1. female,N1C_N1C,euro6,euro4,3.0263532764,2.0763423711,sig,sig,0.6860872415,B1
1. female,N1C_N1C,euro6,euro5,7.2229973133,5.1956151554,sig,sig,0.7193156705,B1
1. female,N1C_N1C,euro6,euro6,,,nesig,nesig,,B4
1. female,N1C_N1C,euro6,euro7,3.2339634978,2.5001211597,sig,sig,0.7730826775,B1
1. female,N1C_N1C,euro6,euro8,4.2798150611,5.1488911146,sig,sig,1.2030639271,B1
1. female,N1C_N1C,euro6,euro9,11.252281117,8.0553419199,sig,sig,0.7158852357,B1
1. female,N1C_N1C,euro7,euro1,8.2298690514,7.3770069289,sig,sig,0.8963699037,B1
1. female,N1C_N1C,euro7,euro10,3.2113485814,2.8345811897,sig,sig,0.8826762707,B1
1. female,N1C_N1C,euro7,euro11,2.3212589879,2.2800806096,sig,sig,0.9822603257,B1
1. female,N1C_N1C,euro7,euro12,4.4213678128,4.2031178484,sig,sig,0.9506374557,B1
1. female,N1C_N1C,euro7,euro2,2.6744868637,2.3222222222,sig,sig,0.8682870175,B1
1. female,N1C_N1C,euro7,euro3,5.2360383841,3.7995262362,sig,sig,0.7256490418,B1
1. female,N1C_N1C,euro7,euro4,4.3490901572,4.2174684832,sig,sig,0.9697358139,B1
1. female,N1C_N1C,euro7,euro5,5.1964966865,5.1924297924,sig,sig,0.9992173777,B1
1. female,N1C_N1C,euro7,euro6,3.2339634978,2.5001211597,sig,sig,0.7730826775,B1
1. female,N1C_N1C,euro7,euro7,,,nesig,nesig,,B4
1. female,N1C_N1C,euro7,euro8,3.1643835616,2.6858798865,sig,sig,0.8487845529,B1
1. female,N1C_N1C,euro7,euro9,7.0660257491,5.8552578146,sig,sig,0.8286493741,B1
1. female,N1C_N1C,euro8,euro1,5.9573007246,6.9212695948,sig,sig,1.1618130282,B1
1. female,N1C_N1C,euro8,euro10,3.9,3.4734255765,sig,sig,0.8906219427,B1
1. female,N1C_N1C,euro8,euro11,3.1339117314,3.1745956607,sig,sig,1.0129818364,B1
1. female,N1C_N1C,euro8,euro12,3.8021466958,4.3488973831,sig,sig,1.143800524,B1
1. female,N1C_N1C,euro8,euro2,3.1332453826,3.0152202295,sig,sig,0.9623313406,B1
1. female,N1C_N1C,euro8,euro3,3.8837921496,4.3993127684,sig,sig,1.1327364079,B1
1. female,N1C_N1C,euro8,euro4,1.9837398374,2.5209210458,sig,sig,1.2707921665,B1
1. female,N1C_N1C,euro8,euro5,5.4533065237,5.3685709933,sig,sig,0.9844616234,B1
1. female,N1C_N1C,euro8,euro6,4.2798150611,5.1488911146,sig,sig,1.2030639271,B1
1. female,N1C_N1C,euro8,euro7,3.1643835616,2.6858798865,sig,sig,0.8487845529,B1
1. female,N1C_N1C,euro8,euro8,,,nesig,nesig,,B4
1. female,N1C_N1C,euro8,euro9,9.2192760998,8.3758860622,sig,sig,0.9085188437,B1
1. female,N1C_N1C,euro9,euro1,7.3746690182,8.1498145011,sig,sig,1.1051091894,B1
1. female,N1C_N1C,euro9,euro10,6.7164822695,6.5571454717,sig,sig,0.9762767485,B1
1. female,N1C_N1C,euro9,euro11,5.7127505433,4.7192553191,sig,sig,0.8260916144,B1
1. female,N1C_N1C,euro9,euro12,5.6295517389,6.1560163928,sig,sig,1.0935180416,B1
1. female,N1C_N1C,euro9,euro2,5.5320101725,6.2876313568,sig,sig,1.1365907077,B1
1. female,N1C_N1C,euro9,euro3,10.27128101,7.9753961635,sig,sig,0.7764753156,B1
1. female,N1C_N1C,euro9,euro4,5.4181325004,5.3516141202,sig,sig,0.987723006,B1
1. female,N1C_N1C,euro9,euro5,6.4036160227,6.6924539352,sig,sig,1.0451054391,B1
1. female,N1C_N1C,euro9,euro6,11.252281117,8.0553419199,sig,sig,0.7158852357,B1
1. female,N1C_N1C,euro9,euro7,7.0660257491,5.8552578146,sig,sig,0.8286493741,B1
1. female,N1C_N1C,euro9,euro8,9.2192760998,8.3758860622,sig,sig,0.9085188437,B1
1. female,N1C_N1C,euro9,euro9,,,nesig,nesig,,B4
1. female,N1C_N2,euro1,euro1,,,nesig,nesig,,B4
1. female,N1C_N2,euro1,euro10,4.4670846395,3.0104681593,sig,sig,0.6739223458,B1
1. female,N1C_N2,euro1,euro11,3.9261031366,2.4185361061,sig,sig,0.6160144097,B1
1. female,N1C_N2,euro1,euro12,8.8807631161,14.705128205,sig,sig,1.6558406088,B1
1. female,N1C_N2,euro1,euro2,3.9256198347,3.0378787879,sig,sig,0.7738596491,B1
1. female,N1C_N2,euro1,euro3,12.822335025,4.3800995025,sig,sig,0.341599209,B1
1. female,N1C_N2,euro1,euro4,5.3680320296,4.8277744087,sig,sig,0.8993564834,B1
1. female,N1C_N2,euro1,euro5,6.9230769231,5.1097770154,sig,sig,0.7380789022,B1
1. female,N1C_N2,euro1,euro6,8.9651837524,4.8282548476,sig,sig,0.5385561502,B1
1. female,N1C_N2,euro1,euro7,7.1794285714,6,sig,sig,0.8357211079,B1
1. female,N1C_N2,euro1,euro8,4.9553571429,3.6223776224,sig,sig,0.731002331,B1
1. female,N1C_N2,euro1,euro9,4.9970879441,5.7031419285,sig,sig,1.1412930876,B1
1. female,N1C_N2,euro10,euro1,4.4670846395,3.0104681593,sig,sig,0.6739223458,B1
1. female,N1C_N2,euro10,euro10,,,nesig,nesig,,B4
1. female,N1C_N2,euro10,euro11,2.9298864081,3.5172656801,sig,sig,1.2004785135,B1
1. female,N1C_N2,euro10,euro12,2.7819548872,3.094619666,sig,sig,1.1123903124,B1
1. female,N1C_N2,euro10,euro2,2.7238335435,3.3983530623,sig,sig,1.2476361011,B1
1. female,N1C_N2,euro10,euro3,2.4054054054,2.5841666667,sig,sig,1.0743164794,B1
1. female,N1C_N2,euro10,euro4,1.5353651524,3.619047619,nesig,sig,2.3571250223,B3
1. female,N1C_N2,euro10,euro5,5.987933635,5.1483870968,sig,sig,0.8597936134,B1
1. female,N1C_N2,euro10,euro6,5.7112638815,5.0820861678,sig,sig,0.8898356429,B1
1. female,N1C_N2,euro10,euro7,2.9616815476,1.9304955105,sig,sig,0.6518241342,B1
1. female,N1C_N2,euro10,euro8,3.3201680672,2.9721428571,sig,sig,0.8951784358,B1
1. female,N1C_N2,euro10,euro9,6.5833333333,5.2944406314,sig,sig,0.8042188301,B1
1. female,N1C_N2,euro11,euro1,3.9261031366,2.4185361061,sig,sig,0.6160144097,B1
1. female,N1C_N2,euro11,euro10,2.9298864081,3.5172656801,sig,sig,1.2004785135,B1
1. female,N1C_N2,euro11,euro11,,,nesig,nesig,,B4
1. female,N1C_N2,euro11,euro12,2.3183139535,2.1073170732,sig,sig,0.9089869256,B1
1. female,N1C_N2,euro11,euro2,3.6722689076,5.6315565032,sig,sig,1.5335359814,B1
1. female,N1C_N2,euro11,euro3,1.5659722222,5.8794642857,nesig,sig,3.7545137789,B3
1. female,N1C_N2,euro11,euro4,1.2888707038,1.3176815847,nesig,nesig,1.0223535851,B4
1. female,N1C_N2,euro11,euro5,1.8328042328,2.6593934911,sig,sig,1.450997026,B1
1. female,N1C_N2,euro11,euro6,2.5354005168,5.5769230769,sig,sig,2.1996221268,B1
1. female,N1C_N2,euro11,euro7,1.9773755656,1.8269230769,sig,sig,0.9239130435,B1
1. female,N1C_N2,euro11,euro8,2.0363636364,3.6345966958,nesig,sig,1.7848465917,B3
1. female,N1C_N2,euro11,euro9,2.4444444444,4.3179746835,sig,sig,1.7664441887,B1
1. female,N1C_N2,euro12,euro1,8.8807631161,14.705128205,sig,sig,1.6558406088,B1
1. female,N1C_N2,euro12,euro10,2.7819548872,3.094619666,sig,sig,1.1123903124,B1
1. female,N1C_N2,euro12,euro11,2.3183139535,2.1073170732,sig,sig,0.9089869256,B1
1. female,N1C_N2,euro12,euro12,,,nesig,nesig,,B4
1. female,N1C_N2,euro12,euro2,3.5070921986,2.2544610474,sig,sig,0.6428291359,B1
1. female,N1C_N2,euro12,euro3,4.1044407895,3.115234375,sig,sig,0.7589911841,B1
1. female,N1C_N2,euro12,euro4,3.1502753737,2.6605222734,sig,sig,0.844536416,B1
1. female,N1C_N2,euro12,euro5,3.5115384615,3.7372386971,sig,sig,1.0642738897,B1
1. female,N1C_N2,euro12,euro6,8.5619747899,5.7300884956,sig,sig,0.6692484662,B1
1. female,N1C_N2,euro12,euro7,3.6142857143,4.8744186047,sig,sig,1.3486533689,B1
1. female,N1C_N2,euro12,euro8,3.0612244898,3.6810344828,sig,sig,1.2024712644,B1
1. female,N1C_N2,euro12,euro9,4.4055555556,4.5620748299,sig,sig,1.0355277041,B1
1. female,N1C_N2,euro2,euro1,3.9256198347,3.0378787879,sig,sig,0.7738596491,B1
1. female,N1C_N2,euro2,euro10,2.7238335435,3.3983530623,sig,sig,1.2476361011,B1
1. female,N1C_N2,euro2,euro11,3.6722689076,5.6315565032,sig,sig,1.5335359814,B1
1. female,N1C_N2,euro2,euro12,3.5070921986,2.2544610474,sig,sig,0.6428291359,B1
1. female,N1C_N2,euro2,euro2,,,nesig,nesig,,B4
1. female,N1C_N2,euro2,euro3,7.0367647059,9.5333333333,sig,sig,1.354789272,B1
1. female,N1C_N2,euro2,euro4,1.6295878035,1.9969879518,nesig,sig,1.2254558776,B3
1. female,N1C_N2,euro2,euro5,2.8329004329,3.1721481481,sig,sig,1.1197527846,B1
1. female,N1C_N2,euro2,euro6,3.4682539683,5.2,sig,sig,1.4993135011,B1
1. female,N1C_N2,euro2,euro7,1.7791666667,1.7875,sig,sig,1.0046838407,B1
1. female,N1C_N2,euro2,euro8,2.57706355,2.0011344299,sig,sig,0.7765173001,B1
1. female,N1C_N2,euro2,euro9,3.5286750165,3.5707364341,sig,sig,1.0119198899,B1
1. female,N1C_N2,euro3,euro1,12.822335025,4.3800995025,sig,sig,0.341599209,B1
1. female,N1C_N2,euro3,euro10,2.4054054054,2.5841666667,sig,sig,1.0743164794,B1
1. female,N1C_N2,euro3,euro11,1.5659722222,5.8794642857,nesig,sig,3.7545137789,B3
1. female,N1C_N2,euro3,euro12,4.1044407895,3.115234375,sig,sig,0.7589911841,B1
1. female,N1C_N2,euro3,euro2,7.0367647059,9.5333333333,sig,sig,1.354789272,B1
1. female,N1C_N2,euro3,euro3,,,nesig,nesig,,B4
1. female,N1C_N2,euro3,euro4,2.4436363636,4.1645021645,sig,sig,1.704223356,B1
1. female,N1C_N2,euro3,euro5,4.1612903226,3.4718899522,sig,sig,0.8343301435,B1
1. female,N1C_N2,euro3,euro6,4.6287089014,3.6439393939,sig,sig,0.7872474747,B1
1. female,N1C_N2,euro3,euro7,3.3798449612,3.5557281553,sig,sig,1.052038835,B1
1. female,N1C_N2,euro3,euro8,2.3477124183,4.3069444444,sig,sig,1.834528118,B1
1. female,N1C_N2,euro3,euro9,3.6668848168,5.8169375535,sig,sig,1.5863431343,B1
1. female,N1C_N2,euro4,euro1,5.3680320296,4.8277744087,sig,sig,0.8993564834,B1
1. female,N1C_N2,euro4,euro10,1.5353651524,3.619047619,nesig,sig,2.3571250223,B3
1. female,N1C_N2,euro4,euro11,1.2888707038,1.3176815847,nesig,nesig,1.0223535851,B4
1. female,N1C_N2,euro4,euro12,3.1502753737,2.6605222734,sig,sig,0.844536416,B1
1. female,N1C_N2,euro4,euro2,1.6295878035,1.9969879518,nesig,sig,1.2254558776,B3
1. female,N1C_N2,euro4,euro3,2.4436363636,4.1645021645,sig,sig,1.704223356,B1
1. female,N1C_N2,euro4,euro4,,,nesig,nesig,,B4
1. female,N1C_N2,euro4,euro5,2.9897435897,4.0524091293,sig,sig,1.3554370158,B1
1. female,N1C_N2,euro4,euro6,3.2814814815,2.23,sig,sig,0.6795711061,B1
1. female,N1C_N2,euro4,euro7,3.176097303,3.9429978888,sig,sig,1.2414600412,B1
1. female,N1C_N2,euro4,euro8,2.433531746,1.4985398415,sig,nesig,0.61578808,B2
1. female,N1C_N2,euro4,euro9,3.9242424242,3.5407445978,sig,sig,0.9022746851,B1
1. female,N1C_N2,euro5,euro1,6.9230769231,5.1097770154,sig,sig,0.7380789022,B1
1. female,N1C_N2,euro5,euro10,5.987933635,5.1483870968,sig,sig,0.8597936134,B1
1. female,N1C_N2,euro5,euro11,1.8328042328,2.6593934911,sig,sig,1.450997026,B1
1. female,N1C_N2,euro5,euro12,3.5115384615,3.7372386971,sig,sig,1.0642738897,B1
1. female,N1C_N2,euro5,euro2,2.8329004329,3.1721481481,sig,sig,1.1197527846,B1
1. female,N1C_N2,euro5,euro3,4.1612903226,3.4718899522,sig,sig,0.8343301435,B1
1. female,N1C_N2,euro5,euro4,2.9897435897,4.0524091293,sig,sig,1.3554370158,B1
1. female,N1C_N2,euro5,euro5,,,nesig,nesig,,B4
1. female,N1C_N2,euro5,euro6,4.2813559322,5.2641975309,sig,sig,1.2295631604,B1
1. female,N1C_N2,euro5,euro7,5.1203481393,4.9408983452,sig,sig,0.9649535951,B1
1. female,N1C_N2,euro5,euro8,6.0655238095,3.4040236686,sig,sig,0.5612085247,B1
1. female,N1C_N2,euro5,euro9,5.8869962609,4.2402626812,sig,sig,0.7202760955,B1
1. female,N1C_N2,euro6,euro1,8.9651837524,4.8282548476,sig,sig,0.5385561502,B1
1. female,N1C_N2,euro6,euro10,5.7112638815,5.0820861678,sig,sig,0.8898356429,B1
1. female,N1C_N2,euro6,euro11,2.5354005168,5.5769230769,sig,sig,2.1996221268,B1
1. female,N1C_N2,euro6,euro12,8.5619747899,5.7300884956,sig,sig,0.6692484662,B1
1. female,N1C_N2,euro6,euro2,3.4682539683,5.2,sig,sig,1.4993135011,B1
1. female,N1C_N2,euro6,euro3,4.6287089014,3.6439393939,sig,sig,0.7872474747,B1
1. female,N1C_N2,euro6,euro4,3.2814814815,2.23,sig,sig,0.6795711061,B1
1. female,N1C_N2,euro6,euro5,4.2813559322,5.2641975309,sig,sig,1.2295631604,B1
1. female,N1C_N2,euro6,euro6,,,nesig,nesig,,B4
1. female,N1C_N2,euro6,euro7,4.4389915966,3.2670553936,sig,sig,0.7359904434,B1
1. female,N1C_N2,euro6,euro8,5.9413533835,4.0476190476,sig,sig,0.6812621277,B1
1. female,N1C_N2,euro6,euro9,8.753371869,6.3397435897,sig,sig,0.7242630251,B1
1. female,N1C_N2,euro7,euro1,7.1794285714,6,sig,sig,0.8357211079,B1
1. female,N1C_N2,euro7,euro10,2.9616815476,1.9304955105,sig,sig,0.6518241342,B1
1. female,N1C_N2,euro7,euro11,1.9773755656,1.8269230769,sig,sig,0.9239130435,B1
1. female,N1C_N2,euro7,euro12,3.6142857143,4.8744186047,sig,sig,1.3486533689,B1
1. female,N1C_N2,euro7,euro2,1.7791666667,1.7875,sig,sig,1.0046838407,B1
1. female,N1C_N2,euro7,euro3,3.3798449612,3.5557281553,sig,sig,1.052038835,B1
1. female,N1C_N2,euro7,euro4,3.176097303,3.9429978888,sig,sig,1.2414600412,B1
1. female,N1C_N2,euro7,euro5,5.1203481393,4.9408983452,sig,sig,0.9649535951,B1
1. female,N1C_N2,euro7,euro6,4.4389915966,3.2670553936,sig,sig,0.7359904434,B1
1. female,N1C_N2,euro7,euro7,,,nesig,nesig,,B4
1. female,N1C_N2,euro7,euro8,3.3470728793,3.4650587508,sig,sig,1.0352504638,B1
1. female,N1C_N2,euro7,euro9,5.4905660377,4.7152732061,sig,sig,0.8587954636,B1
1. female,N1C_N2,euro8,euro1,4.9553571429,3.6223776224,sig,sig,0.731002331,B1
1. female,N1C_N2,euro8,euro10,3.3201680672,2.9721428571,sig,sig,0.8951784358,B1
1. female,N1C_N2,euro8,euro11,2.0363636364,3.6345966958,nesig,sig,1.7848465917,B3
1. female,N1C_N2,euro8,euro12,3.0612244898,3.6810344828,sig,sig,1.2024712644,B1
1. female,N1C_N2,euro8,euro2,2.57706355,2.0011344299,sig,sig,0.7765173001,B1
1. female,N1C_N2,euro8,euro3,2.3477124183,4.3069444444,sig,sig,1.834528118,B1
1. female,N1C_N2,euro8,euro4,2.433531746,1.4985398415,sig,nesig,0.61578808,B2
1. female,N1C_N2,euro8,euro5,6.0655238095,3.4040236686,sig,sig,0.5612085247,B1
1. female,N1C_N2,euro8,euro6,5.9413533835,4.0476190476,sig,sig,0.6812621277,B1
1. female,N1C_N2,euro8,euro7,3.3470728793,3.4650587508,sig,sig,1.0352504638,B1
1. female,N1C_N2,euro8,euro8,,,nesig,nesig,,B4
1. female,N1C_N2,euro8,euro9,5.929981378,9.5052790347,sig,sig,1.6029188675,B1
1. female,N1C_N2,euro9,euro1,4.9970879441,5.7031419285,sig,sig,1.1412930876,B1
1. female,N1C_N2,euro9,euro10,6.5833333333,5.2944406314,sig,sig,0.8042188301,B1
1. female,N1C_N2,euro9,euro11,2.4444444444,4.3179746835,sig,sig,1.7664441887,B1
1. female,N1C_N2,euro9,euro12,4.4055555556,4.5620748299,sig,sig,1.0355277041,B1
1. female,N1C_N2,euro9,euro2,3.5286750165,3.5707364341,sig,sig,1.0119198899,B1
1. female,N1C_N2,euro9,euro3,3.6668848168,5.8169375535,sig,sig,1.5863431343,B1
1. female,N1C_N2,euro9,euro4,3.9242424242,3.5407445978,sig,sig,0.9022746851,B1
1. female,N1C_N2,euro9,euro5,5.8869962609,4.2402626812,sig,sig,0.7202760955,B1
1. female,N1C_N2,euro9,euro6,8.753371869,6.3397435897,sig,sig,0.7242630251,B1
1. female,N1C_N2,euro9,euro7,5.4905660377,4.7152732061,sig,sig,0.8587954636,B1
1. female,N1C_N2,euro9,euro8,5.929981378,9.5052790347,sig,sig,1.6029188675,B1
1. female,N1C_N2,euro9,euro9,,,nesig,nesig,,B4
1. female,N1C_N2C,euro1,euro1,,,nesig,nesig,,B4
1. female,N1C_N2C,euro1,euro10,7.0170210564,4.8084387579,sig,sig,0.685253574,B1
1. female,N1C_N2C,euro1,euro11,5.2378378378,4.9435185185,sig,sig,0.9438090051,B1
1. female,N1C_N2C,euro1,euro12,11.600748013,14.762,sig,sig,1.2725041509,B1
1. female,N1C_N2C,euro1,euro2,5.1578947368,4.3968375592,sig,sig,0.8524480982,B1
1. female,N1C_N2C,euro1,euro3,15.105263158,20.285714286,sig,sig,1.3429566949,B1
1. female,N1C_N2C,euro1,euro4,6.5109677419,8.5704805492,sig,sig,1.3163143927,B1
1. female,N1C_N2C,euro1,euro5,7.3753851363,6.9529652352,sig,sig,0.9427257162,B1
1. female,N1C_N2C,euro1,euro6,7.4517897452,7.790625,sig,sig,1.0454703187,B1
1. female,N1C_N2C,euro1,euro7,7.402173913,7.0120715037,sig,sig,0.9472989403,B1
1. female,N1C_N2C,euro1,euro8,6.6102913067,6.1359799756,sig,sig,0.9282465312,B1
1. female,N1C_N2C,euro1,euro9,7.3599237031,7.6637022162,sig,sig,1.0412746824,B1
1. female,N1C_N2C,euro10,euro1,7.0170210564,4.8084387579,sig,sig,0.685253574,B1
1. female,N1C_N2C,euro10,euro10,,,nesig,nesig,,B4
1. female,N1C_N2C,euro10,euro11,3.877881898,5.0990629183,sig,sig,1.3149092862,B1
1. female,N1C_N2C,euro10,euro12,3.0445322793,3.1380451128,sig,sig,1.030715008,B1
1. female,N1C_N2C,euro10,euro2,2.8493589744,4.2035777274,sig,sig,1.4752713734,B1
1. female,N1C_N2C,euro10,euro3,2.9315856777,3.890542328,sig,sig,1.3271119304,B1
1. female,N1C_N2C,euro10,euro4,1.6627741736,4.2502343018,sig,sig,2.5561103662,B1
1. female,N1C_N2C,euro10,euro5,4.6005208333,3.8266892412,sig,sig,0.8317947858,B1
1. female,N1C_N2C,euro10,euro6,5.8132827324,7.6876402302,sig,sig,1.322426688,B1
1. female,N1C_N2C,euro10,euro7,2.68735363,3.1037013514,sig,sig,1.1549285203,B1
1. female,N1C_N2C,euro10,euro8,3.507751938,5.0035963613,sig,sig,1.4264396257,B1
1. female,N1C_N2C,euro10,euro9,5.377495232,4.9231464738,sig,sig,0.9155092216,B1
1. female,N1C_N2C,euro11,euro1,5.2378378378,4.9435185185,sig,sig,0.9438090051,B1
1. female,N1C_N2C,euro11,euro10,3.877881898,5.0990629183,sig,sig,1.3149092862,B1
1. female,N1C_N2C,euro11,euro11,,,nesig,nesig,,B4
1. female,N1C_N2C,euro11,euro12,4.4668719212,3.0172413793,sig,sig,0.6754707618,B1
1. female,N1C_N2C,euro11,euro2,3.4318181818,5.8427714857,sig,sig,1.7025294395,B1
1. female,N1C_N2C,euro11,euro3,3.4518999519,3.4121642482,sig,sig,0.9884887441,B1
1. female,N1C_N2C,euro11,euro4,1.9534662868,2.8744186047,sig,sig,1.471445207,B1
1. female,N1C_N2C,euro11,euro5,3.672912006,3.0106617647,sig,sig,0.8196934094,B1
1. female,N1C_N2C,euro11,euro6,5.1654589372,6.1756578947,sig,sig,1.1955680937,B1
1. female,N1C_N2C,euro11,euro7,2.9274725275,2.981369442,sig,sig,1.0184107328,B1
1. female,N1C_N2C,euro11,euro8,2.9655709006,3.3989304813,sig,sig,1.1461302377,B1
1. female,N1C_N2C,euro11,euro9,4.8424988495,4.3088607595,sig,sig,0.889801091,B1
1. female,N1C_N2C,euro12,euro1,11.600748013,14.762,sig,sig,1.2725041509,B1
1. female,N1C_N2C,euro12,euro10,3.0445322793,3.1380451128,sig,sig,1.030715008,B1
1. female,N1C_N2C,euro12,euro11,4.4668719212,3.0172413793,sig,sig,0.6754707618,B1
1. female,N1C_N2C,euro12,euro12,,,nesig,nesig,,B4
1. female,N1C_N2C,euro12,euro2,3.0184559031,3.1126984127,sig,sig,1.0312220926,B1
1. female,N1C_N2C,euro12,euro3,6.7266625991,6.3362068966,sig,sig,0.941954023,B1
1. female,N1C_N2C,euro12,euro4,3.4348919055,5.12482066,sig,sig,1.4919889187,B1
1. female,N1C_N2C,euro12,euro5,5.133791828,4.9527027027,sig,sig,0.9647260482,B1
1. female,N1C_N2C,euro12,euro6,3.9392128699,4.8008528785,sig,sig,1.218734056,B1
