female,prechod,C,D,OR6,OR8,sig_OR6,sig_OR8,OR86,barva
0. male,N1C_N2,euro7,euro2,3.2064777328,2.5283446712,sig,sig,0.7885115326,B1
0. male,N1C_N2,euro7,euro3,2.7259259259,2.6,sig,nesig,0.9538043478,B2
0. male,N1C_N2,euro7,euro4,3.012987013,3.290960452,nesig,nesig,1.0922584259,B4
0. male,N1C_N2,euro7,euro5,4.1996753247,4.8039215686,sig,sig,1.1438792757,B1
0. male,N1C_N2,euro7,euro6,2.3209459459,2.7380952381,nesig,sig,1.1797324461,B3
0. male,N1C_N2,euro7,euro7,,,nesig,nesig,,B4
0. male,N1C_N2,euro7,euro8,3.5460526316,4.2830188679,sig,sig,1.2078272132,B1
0. male,N1C_N2,euro7,euro9,4.3706709957,6.2601010101,sig,sig,1.4322974702,B1
0. male,N1C_N2,euro8,euro1,8.9411764706,2.7941176471,sig,sig,0.3125,B1
0. male,N1C_N2,euro8,euro10,2.7368421053,5.0549450549,nesig,sig,1.8469991547,B3
0. male,N1C_N2,euro8,euro11,2.6111111111,4.35,nesig,sig,1.6659574468,B3
0. male,N1C_N2,euro8,euro12,1.8656126482,4.35,nesig,sig,2.3316737288,B3
0. male,N1C_N2,euro8,euro2,3.1515151515,5.9375,nesig,sig,1.8840144231,B3
0. male,N1C_N2,euro8,euro3,12.135416667,2.95,sig,nesig,0.2430901288,B2
0. male,N1C_N2,euro8,euro5,10.704225352,5.4444444444,sig,sig,0.508625731,B1
0. male,N1C_N2,euro8,euro6,9.1015625,6.2142857143,sig,sig,0.6827713059,B1
0. male,N1C_N2,euro8,euro7,3.5460526316,4.2830188679,sig,sig,1.2078272132,B1
0. male,N1C_N2,euro8,euro8,,,nesig,nesig,,B4
0. male,N1C_N2,euro8,euro9,10.133333333,5.8507462687,sig,sig,0.5773762765,B1
0. male,N1C_N2,euro9,euro1,5.9682539683,4.1225055432,sig,sig,0.6907389607,B1
0. male,N1C_N2,euro9,euro10,4.1977928693,6.7118644068,sig,sig,1.5989031893,B1
0. male,N1C_N2,euro9,euro11,4.25,3.3088235294,sig,sig,0.7785467128,B1
0. male,N1C_N2,euro9,euro12,3.3854166667,3.9004975124,sig,sig,1.1521469575,B1
0. male,N1C_N2,euro9,euro2,3.9457013575,3.2488822653,sig,sig,0.8233979136,B1
0. male,N1C_N2,euro9,euro3,3.3898026316,2.025974026,sig,nesig,0.5976672527,B2
0. male,N1C_N2,euro9,euro4,0.9552845528,2.5548245614,nesig,nesig,2.6744120941,B4
0. male,N1C_N2,euro9,euro5,4.2926829268,3.232,sig,sig,0.7529090909,B1
0. male,N1C_N2,euro9,euro6,5.078125,10.136363636,sig,sig,1.9960839161,B1
0. male,N1C_N2,euro9,euro7,4.3706709957,6.2601010101,sig,sig,1.4322974702,B1
0. male,N1C_N2,euro9,euro8,10.133333333,5.8507462687,sig,sig,0.5773762765,B1
0. male,N1C_N2,euro9,euro9,,,nesig,nesig,,B4
0. male,N1C_N2C,euro1,euro1,,,nesig,nesig,,B4
0. male,N1C_N2C,euro1,euro10,3.4878674295,5.0003509388,sig,sig,1.433641341,B1
0. male,N1C_N2C,euro1,euro11,2.8387096774,3.8917474767,sig,sig,1.3709564975,B1
0. male,N1C_N2C,euro1,euro12,7.2046783626,10.005194805,sig,sig,1.3887080452,B1
0. male,N1C_N2C,euro1,euro2,3.2016621438,4.1688311688,sig,sig,1.3020834122,B1
0. male,N1C_N2C,euro1,euro3,9.1,10.88282504,sig,sig,1.1959148396,B1
0. male,N1C_N2C,euro1,euro4,5.7888198758,9.306122449,sig,sig,1.6076026977,B1
0. male,N1C_N2C,euro1,euro5,4.0619195046,3.9959501558,sig,sig,0.9837590704,B1
0. male,N1C_N2C,euro1,euro6,6.0526960784,10.96765198,sig,sig,1.8120275391,B1
0. male,N1C_N2C,euro1,euro7,6.3362068966,5.7079646018,sig,sig,0.9008488351,B1
0. male,N1C_N2C,euro1,euro8,2.6366133866,4.9741765481,sig,sig,1.8865779008,B1
0. male,N1C_N2C,euro1,euro9,4.9219047619,5.7721568627,sig,sig,1.1727485886,B1
0. male,N1C_N2C,euro10,euro1,3.4878674295,5.0003509388,sig,sig,1.433641341,B1
0. male,N1C_N2C,euro10,euro10,,,nesig,nesig,,B4
0. male,N1C_N2C,euro10,euro11,1.7389705882,5.087804878,nesig,sig,2.9257567163,B3
0. male,N1C_N2C,euro10,euro12,2.2127659574,3.2823920266,sig,sig,1.4833887043,B1
0. male,N1C_N2C,euro10,euro2,2.0515843773,4.018018018,sig,sig,1.9584951331,B1
0. male,N1C_N2C,euro10,euro3,4.1419836957,2.9673913043,sig,sig,0.7164179104,B1
0. male,N1C_N2C,euro10,euro4,2.7941176471,3.5921052632,sig,sig,1.2855955679,B1
0. male,N1C_N2C,euro10,euro5,2.9893874511,2.4494343108,sig,sig,0.8193766619,B1
0. male,N1C_N2C,euro10,euro6,4.4237288136,7.6923076923,sig,sig,1.7388741527,B1
0. male,N1C_N2C,euro10,euro7,2.9519379845,4.8113207547,sig,sig,1.6298854447,B1
0. male,N1C_N2C,euro10,euro8,3.7039244908,4.3833833834,sig,sig,1.1834429655,B1
0. male,N1C_N2C,euro10,euro9,2.8613044182,4.2448979592,sig,sig,1.4835534214,B1
0. male,N1C_N2C,euro11,euro1,2.8387096774,3.8917474767,sig,sig,1.3709564975,B1
0. male,N1C_N2C,euro11,euro10,1.7389705882,5.087804878,nesig,sig,2.9257567163,B3
0. male,N1C_N2C,euro11,euro11,,,nesig,nesig,,B4
0. male,N1C_N2C,euro11,euro12,1.0647321429,1.9214076246,nesig,sig,1.804592486,B3
0. male,N1C_N2C,euro11,euro2,4.0331632653,5.265913371,sig,sig,1.3056534101,B1
0. male,N1C_N2C,euro11,euro3,1.9233870968,2.2691897655,nesig,sig,1.1797883896,B3
0. male,N1C_N2C,euro11,euro4,2.3317073171,1.1996981891,nesig,nesig,0.5145149138,B4
0. male,N1C_N2C,euro11,euro5,1.5361842105,1.7253743105,nesig,sig,1.1231558681,B3
0. male,N1C_N2C,euro11,euro6,5.1494932432,5.5119825708,sig,sig,1.0703932038,B1
0. male,N1C_N2C,euro11,euro7,2.5062678063,3.4603448276,sig,sig,1.3806764061,B1
0. male,N1C_N2C,euro11,euro8,1.3551136364,3.2836879433,nesig,sig,2.423182717,B3
0. male,N1C_N2C,euro11,euro9,1.9764705882,3.5636094675,sig,sig,1.8030166948,B1
0. male,N1C_N2C,euro12,euro1,7.2046783626,10.005194805,sig,sig,1.3887080452,B1
0. male,N1C_N2C,euro12,euro10,2.2127659574,3.2823920266,sig,sig,1.4833887043,B1
0. male,N1C_N2C,euro12,euro11,1.0647321429,1.9214076246,nesig,sig,1.804592486,B3
0. male,N1C_N2C,euro12,euro12,,,nesig,nesig,,B4
0. male,N1C_N2C,euro12,euro2,2.1150362319,2.478028169,sig,sig,1.1716244534,B1
0. male,N1C_N2C,euro12,euro3,6.33655706,3.9578947368,sig,sig,0.6246128141,B1
0. male,N1C_N2C,euro12,euro4,4.4716981132,3.4782608696,sig,sig,0.7778389286,B1
0. male,N1C_N2C,euro12,euro5,2.2349374022,4.5935868755,sig,sig,2.0553537074,B1
0. male,N1C_N2C,euro12,euro6,4.8732026144,7.6333333333,sig,sig,1.566389485,B1
0. male,N1C_N2C,euro12,euro7,3.28425,4.7741935484,sig,sig,1.453663256,B1
0. male,N1C_N2C,euro12,euro8,2.0466346154,3.4117647059,nesig,sig,1.6670121184,B3
0. male,N1C_N2C,euro12,euro9,3.7557894737,6.0121212121,sig,sig,1.600760973,B1
0. male,N1C_N2C,euro2,euro1,3.2016621438,4.1688311688,sig,sig,1.3020834122,B1
0. male,N1C_N2C,euro2,euro10,2.0515843773,4.018018018,sig,sig,1.9584951331,B1
0. male,N1C_N2C,euro2,euro11,4.0331632653,5.265913371,sig,sig,1.3056534101,B1
0. male,N1C_N2C,euro2,euro12,2.1150362319,2.478028169,sig,sig,1.1716244534,B1
0. male,N1C_N2C,euro2,euro2,,,nesig,nesig,,B4
0. male,N1C_N2C,euro2,euro3,4.0797011208,5.4143835616,sig,sig,1.3271520147,B1
0. male,N1C_N2C,euro2,euro4,3,2.9810126582,sig,sig,0.9936708861,B1
0. male,N1C_N2C,euro2,euro5,2.5330769231,2.9931506849,sig,sig,1.1816264471,B1
0. male,N1C_N2C,euro2,euro6,3.0886495443,7.3225806452,sig,sig,2.3708033366,B1
0. male,N1C_N2C,euro2,euro7,2.2676767677,2.7013945857,sig,sig,1.1912608641,B1
0. male,N1C_N2C,euro2,euro8,1.7939750693,3.3823529412,nesig,sig,1.8853957333,B3
0. male,N1C_N2C,euro2,euro9,2.6159922395,3.3128834356,sig,sig,1.2663965075,B1
0. male,N1C_N2C,euro3,euro1,9.1,10.88282504,sig,sig,1.1959148396,B1
0. male,N1C_N2C,euro3,euro10,4.1419836957,2.9673913043,sig,sig,0.7164179104,B1
0. male,N1C_N2C,euro3,euro11,1.9233870968,2.2691897655,nesig,sig,1.1797883896,B3
0. male,N1C_N2C,euro3,euro12,6.33655706,3.9578947368,sig,sig,0.6246128141,B1
0. male,N1C_N2C,euro3,euro2,4.0797011208,5.4143835616,sig,sig,1.3271520147,B1
0. male,N1C_N2C,euro3,euro3,,,nesig,nesig,,B4
0. male,N1C_N2C,euro3,euro4,2.0735930736,9.0576923077,nesig,sig,4.368114662,B3
0. male,N1C_N2C,euro3,euro5,3.9285714286,7.4908536585,sig,sig,1.9067627494,B1
0. male,N1C_N2C,euro3,euro6,3.8455284553,5.9079457364,sig,sig,1.5363156989,B1
0. male,N1C_N2C,euro3,euro7,3.8331154684,4.6187977099,sig,sig,1.2049722342,B1
0. male,N1C_N2C,euro3,euro8,2.7298850575,5.4782608696,sig,sig,2.0067734554,B1
0. male,N1C_N2C,euro3,euro9,5.7067932068,5.7637335926,sig,sig,1.0099776501,B1
